time,open,high,low,close,volume,volumeRaw,changePercent
2007-06-01,2614.01,2634.6,2534.97,2603.23,20010000000,20.01B,-0.05
2007-07-01,2617.39,2724.74,2545.57,2545.57,20210000000,20.21B,-2.21
2007-08-01,2538.5,2627.75,2386.69,2596.36,23990000000,23.99B,2
2007-09-01,2596.38,2716.75,2536.93,2701.5,15460000000,15.46B,4.05
2007-10-01,2704.25,2861.51,2698.14,2859.12,20700000000,20.70B,5.83
2007-11-01,2835,2835.63,2539.81,2660.96,21070000000,21.07B,-6.93
2007-12-01,2654.91,2734.82,2553.99,2652.28,16079999999.999998,16.08B,-0.33
2008-01-01,2653.91,2661.5,2202.54,2389.86,24810000000,24.81B,-9.89
2008-02-01,2392.58,2419.23,2252.65,2271.48,19890000000,19.89B,-4.95
2008-03-01,2271.26,2346.78,2155.42,2279.1,19520000000,19.52B,0.34
2008-04-01,2306.51,2451.19,2266.29,2412.8,17610000000,17.61B,5.87
2008-05-01,2416.49,2551.47,2416.49,2522.66,17480000000,17.48B,4.55
2008-06-01,2514.82,2549.94,2290.59,2292.98,19270000000,19.27B,-9.1
2008-07-01,2274.24,2353.39,2167.29,2325.55,20420000000,20.42B,1.42
2008-08-01,2326.83,2473.2,2280.93,2367.52,14410000000,14.41B,1.8
2008-09-01,2402.11,2413.11,1983.73,2091.88,19750000000,19.75B,-11.64
2008-10-01,2075.1,2083.2,1493.79,1720.95,25280000000,25.28B,-17.73
2008-11-01,1718.89,1785.84,1295.48,1535.57,15970000000,15.97B,-10.77
2008-12-01,1496.09,1602.92,1398.07,1577.03,15380000000,15.38B,2.7
2009-01-01,1578.87,1665.63,1434.08,1476.42,15090000000,15.09B,-6.38
2009-02-01,1460.85,1598.5,1372.42,1377.84,15710000000,15.71B,-6.68
2009-03-01,1356.13,1587,1265.52,1528.59,17300000000,17.30B,10.94
2009-04-01,1504.87,1753.61,1498.54,1717.3,15430000000,15.43B,12.35
2009-05-01,1719.29,1774.33,1664.19,1774.33,14460000000,14.46B,3.32
2009-06-01,1796.09,1879.92,1753.78,1835.04,16200000000,16.20B,3.42
2009-07-01,1846.12,2009.81,1727.05,1978.5,14220000000,14.22B,7.82
2009-08-01,1998.35,2059.48,1929.64,2009.06,12700000000,12.70B,1.54
2009-09-01,2001.3,2167.7,1958.04,2122.42,14270000000,14.27B,5.64
2009-10-01,2111.77,2190.64,2040.21,2045.11,15230000000,15.23B,-3.64
2009-11-01,2047.42,2205.32,2024.27,2144.6,11980000000,11.98B,4.86
2009-12-01,2162.23,2295.8,2155.96,2269.15,11530000000,11.53B,5.81
2010-01-01,2294.41,2326.28,2140.34,2147.35,12780000000,12.78B,-5.37
2010-02-01,2155.81,2251.68,2100.17,2238.26,12180000000,12.18B,4.23
2010-03-01,2247.4,2432.25,2247.33,2397.96,14440000000,14.44B,7.14
2010-04-01,2411.68,2535.28,2383.77,2461.19,13660000000,13.66B,2.64
2010-05-01,2472.32,2503,2140.53,2257.04,15560000000,15.56B,-8.29
2010-06-01,2244.79,2341.11,2105.26,2109.24,14170000000,14.17B,-6.55
2010-07-01,2110.75,2307.6,2061.14,2254.7,12500000000,12.50B,6.9
2010-08-01,2283.32,2309.43,2099.29,2114.03,11610000000,11.61B,-6.24
2010-09-01,2142.75,2400.06,2141.95,2368.62,11620000000,11.62B,12.04
2010-10-01,2386.82,2517.5,2332.46,2507.41,10960000000,10.96B,5.86
2010-11-01,2520.45,2592.94,2459.79,2498.23,11050000000,11.05B,-0.37
2010-12-01,2535.19,2675.26,2535.19,2652.87,9340000000,9.34B,6.19
2011-01-01,2676.65,2766.17,2663.64,2700.08,9520000000,9.52B,1.78
2011-02-01,2717.61,2840.51,2705.54,2782.27,9620000000,9.62B,3.04
2011-03-01,2791.08,2802.32,2603.5,2781.07,12130000000,12.13B,-0.04
2011-04-01,2796.67,2876.83,2706.5,2873.54,10190000000,10.19B,3.32
2011-05-01,2881.28,2887.75,2739.85,2835.3,11830000000,11.83B,-1.33
2011-06-01,2829.39,2834.05,2599.86,2773.52,12850000000,12.85B,-2.18
2011-07-01,2775.08,2878.94,2724.99,2756.38,9760000000,9.76B,-0.62
2011-08-01,2791.45,2796.24,2331.65,2579.46,15410000000,15.41B,-6.42
2011-09-01,2583.34,2643.37,2414.31,2415.4,11940000000,11.94B,-6.36
2011-10-01,2401.19,2753.37,2298.89,2684.41,11330000000,11.33B,11.14
2011-11-01,2607.31,2730.39,2441.48,2620.34,10180000000,10.18B,-2.39
2011-12-01,2615.67,2674.53,2518.01,2605.15,8750000000,8.75B,-0.58
2012-01-01,2657.39,2834.3,2627.23,2813.84,8790000000,8.79B,8.01
2012-02-01,2830.1,3000.11,2825.19,2966.89,9350000000,9.35B,5.44
2012-03-01,2979.11,3134.17,2900.28,3091.57,9680000000,9.68B,4.2
2012-04-01,3085.94,3128.25,2946.04,3046.36,8930000000,8.93B,-1.46
2012-05-01,3044.79,3085.4,2774.45,2827.34,10550000000,10.55B,-7.19
2012-06-01,2810.13,2942.28,2726.68,2935.05,10160000000,10.16B,3.81
2012-07-01,2938.41,2987.94,2837.72,2939.52,8860000000,8.86B,0.15
2012-08-01,2956.72,3100.54,2890.85,3066.96,8590000000,8.59B,4.34
2012-09-01,3063.25,3196.93,3040.24,3116.23,8060000000.000001,8.06B,1.61
2012-10-01,3130.31,3171.46,2961.16,2977.23,8250000000,8.25B,-4.46
2012-11-01,2987.54,3033.85,2810.8,3010.24,8590000000,8.59B,1.11
2012-12-01,3029.21,3061.82,2951.04,3019.51,7730000000,7.73B,0.31
2013-01-01,3091.33,3164.06,3076.6,3142.13,8320000000,8.32B,4.06
2013-02-01,3162.94,3213.6,3105.36,3160.19,8070000000,8.07B,0.57
2013-03-01,3143.54,3270.3,3129.4,3267.52,7850000000,7.85B,3.4
2013-04-01,3268.63,3328.79,3154.96,3328.79,9230000000,9.23B,1.88
2013-05-01,3325.35,3532.04,3296.51,3455.91,9020000000,9.02B,3.82
2013-06-01,3460.76,3488.31,3294.95,3403.25,9560000000,9.56B,-1.52
2013-07-01,3430.48,3649.35,3415.23,3626.37,8369999999.999999,8.37B,6.56
2013-08-01,3654.18,3694.19,3573.57,3589.87,7580000000,7.58B,-1.01
2013-09-01,3622.64,3798.76,3593.62,3771.48,8330000000,8.33B,5.06
2013-10-01,3774.18,3966.71,3650.03,3919.71,10310000000,10.31B,3.93
2013-11-01,3932.45,4069.7,3855.07,4059.89,8560000000.000001,8.56B,3.58
2013-12-01,4065.66,4177.73,3979.59,4176.59,9260000000,9.26B,2.87
2014-01-01,4160.03,4246.55,4044.76,4103.88,10890000000,10.89B,-1.74
2014-02-01,4105.06,4342.59,3968.19,4308.12,9940000000,9.94B,4.98
2014-03-01,4261.42,4371.71,4131.81,4198.99,11620000000,11.62B,-2.53
2014-04-01,4219.87,4286.09,3946.03,4114.56,11050000000,11.05B,-2.01
2014-05-01,4121.25,4252.08,4021.05,4242.62,9830000000,9.83B,3.11
2014-06-01,4247.96,4417.46,4207.61,4408.18,10350000000,10.35B,3.9
2014-07-01,4424.71,4485.93,4351.04,4369.77,9700000000,9.70B,-0.87
2014-08-01,4363.39,4580.27,4321.89,4580.27,8180000000,8.18B,4.82
