year,player_id,name,country,position,primary_club,clubs,club_spans,tracked_months,top10_months,best_global_rank,peak_value_million_eur,latest_value_million_eur,latest_month
2023,206050,Paulo Dybala,Argentina,Attack,AS Roma,AS Roma,Jan-Dec: AS Roma,12,0,240,30,25,2023-12
2024,206050,Paulo Dybala,Argentina,Attack,AS Roma,AS Roma,Jan-Dec: AS Roma,12,0,358,25,8,2024-12
2025,206050,Paulo Dybala,Argentina,Attack,AS Roma,AS Roma,Jan-Dec: AS Roma,12,0,1204,8,5,2025-12
2026,206050,Paulo Dybala,Argentina,Attack,AS Roma,AS Roma | Associazione Sportiva Roma,Jan-May: AS Roma | Jun: Associazione Sportiva Roma,6,0,1332,5,5,2026-06
2008,80444,Philippe Coutinho,Brazil,Midfield,Clube de Regatas Vasco da Gama,Clube de Regatas Vasco da Gama,Jul-Dec: Clube de Regatas Vasco da Gama,6,0,2124,1,1,2008-12
2009,80444,Philippe Coutinho,Brazil,Midfield,Clube de Regatas Vasco da Gama,Clube de Regatas Vasco da Gama,Jan-Dec: Clube de Regatas Vasco da Gama,12,0,2469,1,1,2009-12
2010,80444,Philippe Coutinho,Brazil,Midfield,Clube de Regatas Vasco da Gama,Clube de Regatas Vasco da Gama | Inter Milan,Jan-Jul: Clube de Regatas Vasco da Gama | Aug-Dec: Inter Milan,12,0,907,4.5,4.5,2010-12
2011,80444,Philippe Coutinho,Brazil,Midfield,Inter Milan,Inter Milan,Jan-Dec: Inter Milan,12,0,533,7,7,2011-12
2012,80444,Philippe Coutinho,Brazil,Midfield,Inter Milan,Inter Milan | RCD Espanyol Barcelona,Jan: Inter Milan | Feb-Jun: RCD Espanyol Barcelona | Jul-Dec: Inter Milan,12,0,423,8.5,8.5,2012-12
2013,80444,Philippe Coutinho,Brazil,Midfield,Liverpool FC,Inter Milan | Liverpool FC,Jan: Inter Milan | Feb-Dec: Liverpool FC,12,0,242,14,14,2013-12
2014,80444,Philippe Coutinho,Brazil,Midfield,Liverpool FC,Liverpool FC,Jan-Dec: Liverpool FC,12,0,145,20,20,2014-12
2015,80444,Philippe Coutinho,Brazil,Midfield,Liverpool FC,Liverpool FC,Jan-Dec: Liverpool FC,12,0,59,30,30,2015-12
2016,80444,Philippe Coutinho,Brazil,Midfield,Liverpool FC,Liverpool FC,Jan-Dec: Liverpool FC,12,0,58,35,35,2016-12
2017,80444,Philippe Coutinho,Brazil,Midfield,Liverpool FC,Liverpool FC,Jan-Dec: Liverpool FC,12,0,18,65,65,2017-12
2018,80444,Philippe Coutinho,Brazil,Midfield,FC Barcelona,Liverpool FC | FC Barcelona,Jan-Feb: Liverpool FC | Mar-Dec: FC Barcelona,12,10,9,150,140,2018-12
2019,80444,Philippe Coutinho,Brazil,Midfield,FC Barcelona,FC Barcelona | Bayern Munich,Jan-Nov: FC Barcelona | Dec: Bayern Munich,12,1,9,140,70,2019-12
2020,80444,Philippe Coutinho,Brazil,Midfield,Bayern Munich,Bayern Munich | FC Barcelona,Jan-Sep: Bayern Munich | Oct-Dec: FC Barcelona,12,0,56,70,60,2020-12
2021,80444,Philippe Coutinho,Brazil,Midfield,FC Barcelona,FC Barcelona,Jan-Dec: FC Barcelona,12,0,92,50,18,2021-12
2022,80444,Philippe Coutinho,Brazil,Midfield,Aston Villa,FC Barcelona | Aston Villa,Jan-Feb: FC Barcelona | Mar-Dec: Aston Villa,12,0,432,20,18,2022-12
2023,80444,Philippe Coutinho,Brazil,Midfield,Aston Villa,Aston Villa | Al-Duhail SC,Jan-Oct: Aston Villa | Nov-Dec: Al-Duhail SC,12,0,516,18,9,2023-12
2024,80444,Philippe Coutinho,Brazil,Midfield,Al-Duhail SC,Al-Duhail SC,Jan-Dec: Al-Duhail SC,12,0,1123,9,7.5,2024-12
2025,80444,Philippe Coutinho,Brazil,Midfield,Al-Duhail SC,Al-Duhail SC,Jan-Oct: Al-Duhail SC,10,0,1328,7.5,7.5,2025-10
2010,148455,Mohamed Salah,Egypt,Attack,El Mokawloon SC,El Mokawloon SC,Jun-Dec: El Mokawloon SC,7,0,7621,0.025,0.025,2010-12
2011,148455,Mohamed Salah,Egypt,Attack,El Mokawloon SC,El Mokawloon SC,Jan-Dec: El Mokawloon SC,12,0,6664,0.3,0.3,2011-12
2012,148455,Mohamed Salah,Egypt,Attack,El Mokawloon SC,El Mokawloon SC | FC Basel 1893,Jan-Jun: El Mokawloon SC | Jul-Dec: FC Basel 1893,12,0,1124,4,4,2012-12
2013,148455,Mohamed Salah,Egypt,Attack,FC Basel 1893,FC Basel 1893,Jan-Dec: FC Basel 1893,12,0,473,8.5,8.5,2013-12
2014,148455,Mohamed Salah,Egypt,Attack,Chelsea FC,FC Basel 1893 | Chelsea FC,Jan: FC Basel 1893 | Feb-Dec: Chelsea FC,12,0,266,13,13,2014-12
2015,148455,Mohamed Salah,Egypt,Attack,ACF Fiorentina,Chelsea FC | ACF Fiorentina | AS Roma,Jan: Chelsea FC | Feb-Jun: ACF Fiorentina | Jul-Oct: Chelsea FC | Nov-Dec: AS Roma,12,0,160,20,20,2015-12
2016,148455,Mohamed Salah,Egypt,Attack,AS Roma,AS Roma,Jan-Dec: AS Roma,12,0,97,27,27,2016-12
2017,148455,Mohamed Salah,Egypt,Attack,AS Roma,AS Roma | Liverpool FC,Jan-Sep: AS Roma | Oct-Dec: Liverpool FC,12,0,57,40,40,2017-12
2018,148455,Mohamed Salah,Egypt,Attack,Liverpool FC,Liverpool FC,Jan-Dec: Liverpool FC,12,8,5,150,150,2018-12
2019,148455,Mohamed Salah,Egypt,Attack,Liverpool FC,Liverpool FC,Jan-Dec: Liverpool FC,12,12,6,150,150,2019-12
2020,148455,Mohamed Salah,Egypt,Attack,Liverpool FC,Liverpool FC,Jan-Dec: Liverpool FC,12,12,5,150,120,2020-12
2021,148455,Mohamed Salah,Egypt,Attack,Liverpool FC,Liverpool FC,Jan-Dec: Liverpool FC,12,12,4,120,100,2021-12
2022,148455,Mohamed Salah,Egypt,Attack,Liverpool FC,Liverpool FC,Jan-Dec: Liverpool FC,12,10,4,100,80,2022-12
2023,148455,Mohamed Salah,Egypt,Attack,Liverpool FC,Liverpool FC,Jan-Dec: Liverpool FC,12,0,20,80,65,2023-12
2024,148455,Mohamed Salah,Egypt,Attack,Liverpool FC,Liverpool FC,Jan-Dec: Liverpool FC,12,0,59,65,55,2024-12
2025,148455,Mohamed Salah,Egypt,Attack,Liverpool FC,Liverpool FC,Jan-Dec: Liverpool FC,12,0,82,55,30,2025-12
2026,148455,Mohamed Salah,Egypt,Attack,Liverpool FC,Liverpool FC | Liverpool Football Club,Jan-May: Liverpool FC | Jun: Liverpool Football Club,6,0,243,30,30,2026-06
2013,207929,Dele Alli,England,Midfield,Milton Keynes Dons,Milton Keynes Dons,Aug-Dec: Milton Keynes Dons,5,0,8719,0.25,0.25,2013-12
2014,207929,Dele Alli,England,Midfield,Milton Keynes Dons,Milton Keynes Dons,Jan-Dec: Milton Keynes Dons,12,0,2182,2,2,2014-12
2015,207929,Dele Alli,England,Midfield,Milton Keynes Dons,Milton Keynes Dons | Tottenham Hotspur,Jan-Jun: Milton Keynes Dons | Jul-Dec: Tottenham Hotspur,12,0,897,5,5,2015-12
2016,207929,Dele Alli,England,Midfield,Tottenham Hotspur,Tottenham Hotspur,Jan-Dec: Tottenham Hotspur,12,0,144,20,20,2016-12
2017,207929,Dele Alli,England,Midfield,Tottenham Hotspur,Tottenham Hotspur,Jan-Dec: Tottenham Hotspur,12,0,21,60,60,2017-12
2018,207929,Dele Alli,England,Midfield,Tottenham Hotspur,Tottenham Hotspur,Jan-Dec: Tottenham Hotspur,12,1,10,100,100,2018-12
2019,207929,Dele Alli,England,Midfield,Tottenham Hotspur,Tottenham Hotspur,Jan-Dec: Tottenham Hotspur,12,0,12,100,90,2019-12
2020,207929,Dele Alli,England,Midfield,Tottenham Hotspur,Tottenham Hotspur,Jan-Dec: Tottenham Hotspur,12,0,22,90,38,2020-12
2021,207929,Dele Alli,England,Midfield,Tottenham Hotspur,Tottenham Hotspur,Jan-Dec: Tottenham Hotspur,12,0,157,38,25,2021-12
2022,207929,Dele Alli,England,Midfield,Everton FC,Tottenham Hotspur | Everton FC | Besiktas JK,Jan-Feb: Tottenham Hotspur | Mar-Sep: Everton FC | Oct-Dec: Besiktas JK,12,0,277,25,14,2022-12
2023,207929,Dele Alli,England,Midfield,Besiktas JK,Besiktas JK | Everton FC,Jan-Sep: Besiktas JK | Oct-Dec: Everton FC,12,0,683,14,5,2023-12
2024,207929,Dele Alli,England,Midfield,Everton FC,Everton FC | Without Club,Jan-Sep: Everton FC | Oct-Dec: Without Club,12,0,1731,5,3.5,2024-12
2025,207929,Dele Alli,England,Midfield,Without Club,Without Club | Como 1907,Jan-May: Without Club | Jun-Sep: Como 1907 | Oct-Dec: Without Club,12,0,2209,3.5,1.5,2025-12
2026,207929,Dele Alli,England,Midfield,Without Club,Without Club,Jan-Jun: Without Club,6,0,2443,1.5,1.5,2026-06
2012,134425,Raheem Sterling,England,Attack,Liverpool FC,Liverpool FC,Sep-Dec: Liverpool FC,4,0,1874,2.5,2.5,2012-12
2013,134425,Raheem Sterling,England,Attack,Liverpool FC,Liverpool FC,Jan-Dec: Liverpool FC,12,0,272,12.5,12.5,2013-12
2014,134425,Raheem Sterling,England,Attack,Liverpool FC,Liverpool FC,Jan-Dec: Liverpool FC,12,0,146,20,20,2014-12
2015,134425,Raheem Sterling,England,Attack,Liverpool FC,Liverpool FC | Manchester City,Jan-Sep: Liverpool FC | Oct-Dec: Manchester City,12,0,20,50,50,2015-12
2016,134425,Raheem Sterling,England,Attack,Manchester City,Manchester City,Jan-Dec: Manchester City,12,0,21,50,45,2016-12
2017,134425,Raheem Sterling,England,Attack,Manchester City,Manchester City,Jan-Dec: Manchester City,12,0,32,50,50,2017-12
2018,134425,Raheem Sterling,England,Attack,Manchester City,Manchester City,Jan-Dec: Manchester City,12,1,10,120,120,2018-12
2019,134425,Raheem Sterling,England,Attack,Manchester City,Manchester City,Jan-Dec: Manchester City,12,12,3,160,160,2019-12
2020,134425,Raheem Sterling,England,Attack,Manchester City,Manchester City,Jan-Dec: Manchester City,12,12,3,160,110,2020-12
2021,134425,Raheem Sterling,England,Attack,Manchester City,Manchester City,Jan-Dec: Manchester City,12,4,7,110,85,2021-12
2022,134425,Raheem Sterling,England,Attack,Manchester City,Manchester City | Chelsea FC,Jan-Oct: Manchester City | Nov-Dec: Chelsea FC,12,0,11,85,70,2022-12
2023,134425,Raheem Sterling,England,Attack,Chelsea FC,Chelsea FC,Jan-Dec: Chelsea FC,12,0,44,70,45,2023-12
2024,134425,Raheem Sterling,England,Attack,Chelsea FC,Chelsea FC | Arsenal FC,Jan-Nov: Chelsea FC | Dec: Arsenal FC,12,0,130,45,22,2024-12
2025,134425,Raheem Sterling,England,Attack,Arsenal FC,Arsenal FC | Chelsea FC,Jan-Sep: Arsenal FC | Oct-Dec: Chelsea FC,12,0,475,22,5,2025-12
2026,134425,Raheem Sterling,England,Attack,Chelsea FC,Chelsea FC | Feyenoord Rotterdam,Jan-May: Chelsea FC | Jun: Feyenoord Rotterdam,6,0,1336,5,5,2026-06
2015,288230,Ousmane Dembélé,France,Attack,Stade Rennais FC,Stade Rennais FC,Oct-Dec: Stade Rennais FC,3,0,9505,0.25,0.25,2015-12
2016,288230,Ousmane Dembélé,France,Attack,Borussia Dortmund,Stade Rennais FC | Borussia Dortmund,Jan-Jun: Stade Rennais FC | Jul-Dec: Borussia Dortmund,12,0,217,18,18,2016-12
2017,288230,Ousmane Dembélé,France,Attack,Borussia Dortmund,Borussia Dortmund,Jan-Dec: Borussia Dortmund,12,0,79,33,33,2017-12
2018,288230,Ousmane Dembélé,France,Attack,FC Barcelona,FC Barcelona,Jan-Dec: FC Barcelona,12,0,16,80,80,2018-12
2019,288230,Ousmane Dembélé,France,Attack,FC Barcelona,FC Barcelona,Jan-Dec: FC Barcelona,12,4,9,120,75,2019-12
2020,288230,Ousmane Dembélé,France,Attack,FC Barcelona,FC Barcelona,Jan-Dec: FC Barcelona,12,0,43,75,50,2020-12
2021,288230,Ousmane Dembélé,France,Attack,FC Barcelona,FC Barcelona,Jan-Dec: FC Barcelona,12,0,82,50,30,2021-12
2022,288230,Ousmane Dembélé,France,Attack,FC Barcelona,FC Barcelona,Jan-Dec: FC Barcelona,12,0,63,60,60,2022-12
2023,288230,Ousmane Dembélé,France,Attack,FC Barcelona,FC Barcelona | Paris Saint-Germain,Jan-Nov: FC Barcelona | Dec: Paris Saint-Germain,12,0,66,60,60,2023-12
2024,288230,Ousmane Dembélé,France,Attack,Paris Saint-Germain,Paris Saint-Germain,Jan-Dec: Paris Saint-Germain,12,0,70,60,55,2024-12
2025,288230,Ousmane Dembélé,France,Attack,Paris Saint-Germain,Paris Saint-Germain,Jan-Dec: Paris Saint-Germain,12,0,16,100,100,2025-12
2026,288230,Ousmane Dembélé,France,Attack,Paris Saint-Germain,Paris Saint-Germain | Paris Saint-Germain Football Club,Jan-May: Paris Saint-Germain | Jun: Paris Saint-Germain Football Club,6,0,15,100,100,2026-06
2012,200512,Sadio Mané,Senegal,Attack,FC Metz,FC Metz | Red Bull Salzburg,Apr-Aug: FC Metz | Sep-Dec: Red Bull Salzburg,9,0,1623,3,3,2012-12
2013,200512,Sadio Mané,Senegal,Attack,Red Bull Salzburg,Red Bull Salzburg,Jan-Dec: Red Bull Salzburg,12,0,947,5,5,2013-12
2014,200512,Sadio Mané,Senegal,Attack,Red Bull Salzburg,Red Bull Salzburg | Southampton FC,Jan-Sep: Red Bull Salzburg | Oct-Dec: Southampton FC,12,0,411,10,10,2014-12
2015,200512,Sadio Mané,Senegal,Attack,Southampton FC,Southampton FC,Jan-Dec: Southampton FC,12,0,181,18,18,2015-12
2016,200512,Sadio Mané,Senegal,Attack,Southampton FC,Southampton FC | Liverpool FC,Jan-Jul: Southampton FC | Aug-Dec: Liverpool FC,12,0,88,30,30,2016-12
2017,200512,Sadio Mané,Senegal,Attack,Liverpool FC,Liverpool FC,Jan-Dec: Liverpool FC,12,0,36,50,50,2017-12
2018,200512,Sadio Mané,Senegal,Attack,Liverpool FC,Liverpool FC,Jan-Dec: Liverpool FC,12,0,32,75,75,2018-12
2019,200512,Sadio Mané,Senegal,Attack,Liverpool FC,Liverpool FC,Jan-Dec: Liverpool FC,12,7,7,150,150,2019-12
2020,200512,Sadio Mané,Senegal,Attack,Liverpool FC,Liverpool FC,Jan-Dec: Liverpool FC,12,12,6,150,120,2020-12
2021,200512,Sadio Mané,Senegal,Attack,Liverpool FC,Liverpool FC,Jan-Dec: Liverpool FC,12,5,6,120,80,2021-12
2022,200512,Sadio Mané,Senegal,Attack,Liverpool FC,Liverpool FC | Bayern Munich,Jan-Aug: Liverpool FC | Sep-Dec: Bayern Munich,12,0,17,80,60,2022-12
2023,200512,Sadio Mané,Senegal,Attack,Bayern Munich,Bayern Munich,Jan-Dec: Bayern Munich,12,0,68,60,25,2023-12
2024,200512,Sadio Mané,Senegal,Attack,Bayern Munich,Bayern Munich,Jan-Nov: Bayern Munich,11,0,367,25,25,2024-11
2026,200512,Sadio Mané,Senegal,Attack,Al-Nassr Football Club,Al-Nassr Football Club,Jun: Al-Nassr Football Club,1,0,435,25,25,2026-06
2017,401173,Jadon Sancho,England,Attack,Borussia Dortmund,Borussia Dortmund,Aug-Dec: Borussia Dortmund,5,0,1094,5,5,2017-12
2018,401173,Jadon Sancho,England,Attack,Borussia Dortmund,Borussia Dortmund,Jan-Dec: Borussia Dortmund,12,0,40,70,70,2018-12
2019,401173,Jadon Sancho,England,Attack,Borussia Dortmund,Borussia Dortmund,Jan-Dec: Borussia Dortmund,12,0,11,120,120,2019-12
2020,401173,Jadon Sancho,England,Attack,Borussia Dortmund,Borussia Dortmund,Jan-Dec: Borussia Dortmund,12,10,8,130,100,2020-12
2021,401173,Jadon Sancho,England,Attack,Borussia Dortmund,Borussia Dortmund | Manchester United,Jan-Sep: Borussia Dortmund | Oct-Dec: Manchester United,12,10,4,100,85,2021-12
2022,401173,Jadon Sancho,England,Attack,Manchester United,Manchester United,Jan-Dec: Manchester United,12,2,10,85,60,2022-12
2023,401173,Jadon Sancho,England,Attack,Manchester United,Manchester United,Jan-Dec: Manchester United,12,0,58,60,25,2023-12
2024,401173,Jadon Sancho,England,Attack,Borussia Dortmund,Manchester United | Borussia Dortmund | Chelsea FC,Jan-Apr: Manchester United | May-Nov: Borussia Dortmund | Dec: Chelsea FC,12,0,269,30,30,2024-12
2025,401173,Jadon Sancho,England,Attack,Chelsea FC,Chelsea FC | Aston Villa,Jan-Sep: Chelsea FC | Oct-Dec: Aston Villa,12,0,278,30,20,2025-12
2026,401173,Jadon Sancho,England,Attack,Aston Villa,Aston Villa | Aston Villa Football Club,Jan-May: Aston Villa | Jun: Aston Villa Football Club,6,0,430,20,20,2026-06
2017,314353,Trent Alexander-Arnold,England,Defender,Liverpool FC,Liverpool FC,Feb-Dec: Liverpool FC,11,0,1245,5,5,2017-12
2018,314353,Trent Alexander-Arnold,England,Defender,Liverpool FC,Liverpool FC,Jan-Dec: Liverpool FC,12,0,118,45,45,2018-12
2019,314353,Trent Alexander-Arnold,England,Defender,Liverpool FC,Liverpool FC,Jan-Dec: Liverpool FC,12,0,12,110,110,2019-12
2020,314353,Trent Alexander-Arnold,England,Defender,Liverpool FC,Liverpool FC,Jan-Dec: Liverpool FC,12,9,8,110,110,2020-12
2021,314353,Trent Alexander-Arnold,England,Defender,Liverpool FC,Liverpool FC,Jan-Dec: Liverpool FC,12,4,8,110,80,2021-12
2022,314353,Trent Alexander-Arnold,England,Defender,Liverpool FC,Liverpool FC,Jan-Dec: Liverpool FC,12,0,17,80,70,2022-12
2023,314353,Trent Alexander-Arnold,England,Defender,Liverpool FC,Liverpool FC,Jan-Dec: Liverpool FC,12,0,46,70,70,2023-12
2024,314353,Trent Alexander-Arnold,England,Defender,Liverpool FC,Liverpool FC,Jan-Dec: Liverpool FC,12,0,41,75,75,2024-12
2025,314353,Trent Alexander-Arnold,England,Defender,Liverpool FC,Liverpool FC | Real Madrid,Jan-Nov: Liverpool FC | Dec: Real Madrid,12,0,40,75,70,2025-12
2026,314353,Trent Alexander-Arnold,England,Defender,Real Madrid,Real Madrid | Real Madrid Club de Fútbol,Jan-May: Real Madrid | Jun: Real Madrid Club de Fútbol,6,0,43,70,70,2026-06
2016,418560,Erling Haaland,Norway,Attack,Bryne FK,Bryne FK,Dec: Bryne FK,1,0,10009,0.2,0.2,2016-12
2017,418560,Erling Haaland,Norway,Attack,Bryne FK,Bryne FK | Molde FK,Jan-Nov: Bryne FK | Dec: Molde FK,12,0,8427,0.3,0.3,2017-12
2018,418560,Erling Haaland,Norway,Attack,Molde FK,Molde FK,Jan-Dec: Molde FK,12,0,1446,5,5,2018-12
2019,418560,Erling Haaland,Norway,Attack,Red Bull Salzburg,Molde FK | Red Bull Salzburg,Jan-May: Molde FK | Jun-Dec: Red Bull Salzburg,12,0,136,45,45,2019-12
2020,418560,Erling Haaland,Norway,Attack,Borussia Dortmund,Red Bull Salzburg | Borussia Dortmund,Jan: Red Bull Salzburg | Feb-Dec: Borussia Dortmund,12,2,9,100,100,2020-12
2021,418560,Erling Haaland,Norway,Attack,Borussia Dortmund,Borussia Dortmund,Jan-Dec: Borussia Dortmund,12,12,2,150,150,2021-12
2022,418560,Erling Haaland,Norway,Attack,Borussia Dortmund,Borussia Dortmund | Manchester City,Jan-Oct: Borussia Dortmund | Nov-Dec: Manchester City,12,12,1,170,170,2022-12
2023,418560,Erling Haaland,Norway,Attack,Manchester City,Manchester City,Jan-Dec: Manchester City,12,12,1,180,180,2023-12
2024,418560,Erling Haaland,Norway,Attack,Manchester City,Manchester City,Jan-Dec: Manchester City,12,12,1,200,200,2024-12
2025,418560,Erling Haaland,Norway,Attack,Manchester City,Manchester City,Jan-Dec: Manchester City,12,12,1,200,200,2025-12
2026,418560,Erling Haaland,Norway,Attack,Manchester City,Manchester City | Manchester City Football Club,Jan-May: Manchester City | Jun: Manchester City Football Club,6,6,1,200,200,2026-06
2009,96341,Romelu Lukaku,Belgium,Attack,RSC Anderlecht,RSC Anderlecht U17 | RSC Anderlecht,May-Aug: RSC Anderlecht U17 | Sep-Dec: RSC Anderlecht,8,0,724,5,5,2009-12
2010,96341,Romelu Lukaku,Belgium,Attack,RSC Anderlecht,RSC Anderlecht,Jan-Dec: RSC Anderlecht,12,0,187,14,14,2010-12
2011,96341,Romelu Lukaku,Belgium,Attack,RSC Anderlecht,RSC Anderlecht,Jan-Dec: RSC Anderlecht,12,0,170,15,15,2011-12
2012,96341,Romelu Lukaku,Belgium,Attack,Chelsea FC,RSC Anderlecht | Chelsea FC,Jan: RSC Anderlecht | Feb-Dec: Chelsea FC,12,0,172,15,14,2012-12
2013,96341,Romelu Lukaku,Belgium,Attack,Chelsea FC,West Bromwich Albion | Chelsea FC,Jan-Jun: West Bromwich Albion | Jul-Dec: Chelsea FC,12,0,81,24,24,2013-12
2014,96341,Romelu Lukaku,Belgium,Attack,Everton FC,Everton FC,Jan-Dec: Everton FC,12,0,62,30,30,2014-12
2015,96341,Romelu Lukaku,Belgium,Attack,Everton FC,Everton FC,Jan-Dec: Everton FC,12,0,60,30,28,2015-12
2016,96341,Romelu Lukaku,Belgium,Attack,Everton FC,Everton FC,Jan-Dec: Everton FC,12,0,39,40,40,2016-12
2017,96341,Romelu Lukaku,Belgium,Attack,Everton FC,Everton FC | Manchester United,Jan-Jul: Everton FC | Aug-Dec: Manchester United,12,0,15,70,70,2017-12
2018,96341,Romelu Lukaku,Belgium,Attack,Manchester United,Manchester United,Jan-Dec: Manchester United,12,0,13,100,85,2018-12
2019,96341,Romelu Lukaku,Belgium,Attack,Manchester United,Manchester United | Inter Milan,Jan-Nov: Manchester United | Dec: Inter Milan,12,0,18,85,75,2019-12
2020,96341,Romelu Lukaku,Belgium,Attack,Inter Milan,Inter Milan,Jan-Dec: Inter Milan,12,0,12,90,90,2020-12
2021,96341,Romelu Lukaku,Belgium,Attack,Inter Milan,Inter Milan | Chelsea FC,Jan-Nov: Inter Milan | Dec: Chelsea FC,12,8,5,100,100,2021-12
2022,96341,Romelu Lukaku,Belgium,Attack,Chelsea FC,Chelsea FC | Inter Milan,Jan-Oct: Chelsea FC | Nov-Dec: Inter Milan,12,2,5,100,55,2022-12
2023,96341,Romelu Lukaku,Belgium,Attack,Inter Milan,Inter Milan | AS Roma,Jan-Nov: Inter Milan | Dec: AS Roma,12,0,82,55,35,2023-12
2024,96341,Romelu Lukaku,Belgium,Attack,AS Roma,AS Roma | SSC Napoli,Jan-Nov: AS Roma | Dec: SSC Napoli,12,0,228,35,25,2024-12
2025,96341,Romelu Lukaku,Belgium,Attack,SSC Napoli,SSC Napoli,Jan-Dec: SSC Napoli,12,0,419,25,15,2025-12
2026,96341,Romelu Lukaku,Belgium,Attack,SSC Napoli,SSC Napoli | Società Sportiva Calcio Napoli,Jan-May: SSC Napoli | Jun: Società Sportiva Calcio Napoli,6,0,625,15,15,2026-06
2012,240306,Bruno Fernandes,Portugal,Midfield,Novara Calcio 1908,Novara Calcio 1908,Oct-Dec: Novara Calcio 1908,3,0,10177,0.075,0.075,2012-12
2013,240306,Bruno Fernandes,Portugal,Midfield,Novara Calcio 1908,Novara Calcio 1908,Jan-Dec: Novara Calcio 1908,12,0,1242,3.5,3.5,2013-12
2014,240306,Bruno Fernandes,Portugal,Midfield,Udinese Calcio,Udinese Calcio,Jan-Dec: Udinese Calcio,12,0,598,7,7,2014-12
2015,240306,Bruno Fernandes,Portugal,Midfield,Udinese Calcio,Udinese Calcio,Jan-Dec: Udinese Calcio,12,0,607,7,6.5,2015-12
2016,240306,Bruno Fernandes,Portugal,Midfield,Udinese Calcio,Udinese Calcio,Jan-Dec: Udinese Calcio,12,0,734,6.5,6.5,2016-12
2017,240306,Bruno Fernandes,Portugal,Midfield,UC Sampdoria,UC Sampdoria | Sporting CP,Jan-Oct: UC Sampdoria | Nov-Dec: Sporting CP,12,0,423,12,12,2017-12
2018,240306,Bruno Fernandes,Portugal,Midfield,Sporting CP,Sporting CP,Jan-Dec: Sporting CP,12,0,166,30,26,2018-12
2019,240306,Bruno Fernandes,Portugal,Midfield,Sporting CP,Sporting CP,Jan-Dec: Sporting CP,12,0,67,60,60,2019-12
2020,240306,Bruno Fernandes,Portugal,Midfield,Manchester United,Sporting CP | Manchester United,Jan-Mar: Sporting CP | Apr-Dec: Manchester United,12,0,13,90,90,2020-12
2021,240306,Bruno Fernandes,Portugal,Midfield,Manchester United,Manchester United,Jan-Dec: Manchester United,12,8,7,90,90,2021-12
2022,240306,Bruno Fernandes,Portugal,Midfield,Manchester United,Manchester United,Jan-Dec: Manchester United,12,10,6,90,75,2022-12
2023,240306,Bruno Fernandes,Portugal,Midfield,Manchester United,Manchester United,Jan-Dec: Manchester United,12,0,24,75,70,2023-12
2024,240306,Bruno Fernandes,Portugal,Midfield,Manchester United,Manchester United,Jan-Dec: Manchester United,12,0,40,70,55,2024-12
2025,240306,Bruno Fernandes,Portugal,Midfield,Manchester United,Manchester United,Jan-Dec: Manchester United,12,0,72,55,40,2025-12
2026,240306,Bruno Fernandes,Portugal,Midfield,Manchester United,Manchester United | Manchester United Football Club,Jan-May: Manchester United | Jun: Manchester United Football Club,6,0,121,40,40,2026-06
2015,326330,Frenkie de Jong,Netherlands,Midfield,Willem II Tilburg,Willem II Tilburg,May-Dec: Willem II Tilburg,8,0,7293,0.4,0.4,2015-12
2016,326330,Frenkie de Jong,Netherlands,Midfield,Ajax Amsterdam,Willem II Tilburg | Ajax Amsterdam U21 | Ajax Amsterdam,Jan: Willem II Tilburg | Feb-Jun: Ajax Amsterdam U21 | Jul-Dec: Ajax Amsterdam,12,0,5552,0.6,0.6,2016-12
2017,326330,Frenkie de Jong,Netherlands,Midfield,Ajax Amsterdam,Ajax Amsterdam,Jan-Dec: Ajax Amsterdam,12,0,1578,3.5,3.5,2017-12
2018,326330,Frenkie de Jong,Netherlands,Midfield,Ajax Amsterdam,Ajax Amsterdam,Jan-Dec: Ajax Amsterdam,12,0,66,60,60,2018-12
2019,326330,Frenkie de Jong,Netherlands,Midfield,Ajax Amsterdam,Ajax Amsterdam | FC Barcelona,Jan-Nov: Ajax Amsterdam | Dec: FC Barcelona,12,0,23,90,90,2019-12
2020,326330,Frenkie de Jong,Netherlands,Midfield,FC Barcelona,FC Barcelona,Jan-Dec: FC Barcelona,12,0,20,90,70,2020-12
2021,326330,Frenkie de Jong,Netherlands,Midfield,FC Barcelona,FC Barcelona,Jan-Dec: FC Barcelona,12,6,10,90,70,2021-12
2022,326330,Frenkie de Jong,Netherlands,Midfield,FC Barcelona,FC Barcelona,Jan-Dec: FC Barcelona,12,0,28,70,50,2022-12
2023,326330,Frenkie de Jong,Netherlands,Midfield,FC Barcelona,FC Barcelona,Jan-Dec: FC Barcelona,12,0,18,90,80,2023-12
2024,326330,Frenkie de Jong,Netherlands,Midfield,FC Barcelona,FC Barcelona,Jan-Dec: FC Barcelona,12,0,28,80,70,2024-12
2025,326330,Frenkie de Jong,Netherlands,Midfield,FC Barcelona,FC Barcelona,Jan-Nov: FC Barcelona,11,0,45,70,70,2025-11
2026,326330,Frenkie de Jong,Netherlands,Midfield,Futbol Club Barcelona,Futbol Club Barcelona,Jun: Futbol Club Barcelona,1,0,48,70,70,2026-06
2013,203460,Jack Grealish,England,Attack,Aston Villa,Aston Villa | Notts County,Jul-Nov: Aston Villa | Dec: Notts County,6,0,8818,0.25,0.25,2013-12
2014,203460,Jack Grealish,England,Attack,Notts County,Notts County | Aston Villa,Jan-Sep: Notts County | Oct-Dec: Aston Villa,12,0,3811,1,1,2014-12
