month,year,month_number,player_id,name,country,position,sub_position,club,competition_id,value_million_eur,global_rank,is_top10,top10_rank,valuation_date,valuation_age_days,valuation_source,player_url
2019-04,2019,04,342216,Julien Serrano,France,Defender,Left-Back,AS Monaco,SC1,2,3004,0,,2018-12-17,134,player_valuations,https://www.transfermarkt.co.uk/julien-serrano/profil/spieler/342216
2019-05,2019,05,342216,Julien Serrano,France,Defender,Left-Back,AS Monaco,SC1,2,3014,0,,2018-12-17,165,player_valuations,https://www.transfermarkt.co.uk/julien-serrano/profil/spieler/342216
2019-06,2019,06,342216,Julien Serrano,France,Defender,Left-Back,AS Monaco,SC1,1.5,3722,0,,2019-06-03,27,player_valuations,https://www.transfermarkt.co.uk/julien-serrano/profil/spieler/342216
2019-07,2019,07,342216,Julien Serrano,France,Defender,Left-Back,AS Monaco,SC1,1.5,3728,0,,2019-06-03,58,player_valuations,https://www.transfermarkt.co.uk/julien-serrano/profil/spieler/342216
2019-08,2019,08,342216,Julien Serrano,France,Defender,Left-Back,AS Monaco,SC1,1.5,3749,0,,2019-06-03,89,player_valuations,https://www.transfermarkt.co.uk/julien-serrano/profil/spieler/342216
2019-09,2019,09,342216,Julien Serrano,France,Defender,Left-Back,AS Monaco,SC1,1.5,3808,0,,2019-06-03,119,player_valuations,https://www.transfermarkt.co.uk/julien-serrano/profil/spieler/342216
2019-10,2019,10,342216,Julien Serrano,France,Defender,Left-Back,AS Monaco,SC1,1.5,3849,0,,2019-06-03,150,player_valuations,https://www.transfermarkt.co.uk/julien-serrano/profil/spieler/342216
2019-11,2019,11,342216,Julien Serrano,France,Defender,Left-Back,AS Monaco,SC1,1.5,3846,0,,2019-06-03,180,player_valuations,https://www.transfermarkt.co.uk/julien-serrano/profil/spieler/342216
2019-12,2019,12,342216,Julien Serrano,France,Defender,Left-Back,Cercle Brugge ,SC1,1,4670,0,,2019-12-13,18,player_valuations,https://www.transfermarkt.co.uk/julien-serrano/profil/spieler/342216
2020-01,2020,01,342216,Julien Serrano,France,Defender,Left-Back,Cercle Brugge ,SC1,1,4712,0,,2019-12-13,49,player_valuations,https://www.transfermarkt.co.uk/julien-serrano/profil/spieler/342216
2020-02,2020,02,342216,Julien Serrano,France,Defender,Left-Back,Cercle Brugge ,SC1,1,4755,0,,2019-12-13,78,player_valuations,https://www.transfermarkt.co.uk/julien-serrano/profil/spieler/342216
2020-03,2020,03,342216,Julien Serrano,France,Defender,Left-Back,Cercle Brugge ,SC1,1,4764,0,,2019-12-13,109,player_valuations,https://www.transfermarkt.co.uk/julien-serrano/profil/spieler/342216
2020-04,2020,04,342216,Julien Serrano,France,Defender,Left-Back,AS Béziers,SC1,0.9,4519,0,,2020-04-08,22,player_valuations,https://www.transfermarkt.co.uk/julien-serrano/profil/spieler/342216
2020-05,2020,05,342216,Julien Serrano,France,Defender,Left-Back,AS Béziers,SC1,0.9,4519,0,,2020-04-08,53,player_valuations,https://www.transfermarkt.co.uk/julien-serrano/profil/spieler/342216
