year,name,code,iso2,region,income_group,value_usd,value_million_usd,value_trillion_usd,rank,color,source,indicator,source_url
1980,Australia,AUS,AU,East Asia & Pacific,High income,59668510000,59668.51,0.059669,5,#EF4444,World Bank WDI via World Federation of Exchanges,CM.MKT.LCAP.CD,https://data.worldbank.org/indicator/CM.MKT.LCAP.CD
1980,South Africa,ZAF,ZA,Sub-Saharan Africa,Upper middle income,55829970000,55829.97,0.055830,6,#EF4444,World Bank WDI via World Federation of Exchanges,CM.MKT.LCAP.CD,https://data.worldbank.org/indicator/CM.MKT.LCAP.CD
1980,France,FRA,FR,Europe & Central Asia,High income,54616100000,54616.10,0.054616,7,#FACC15,World Bank WDI via World Federation of Exchanges,CM.MKT.LCAP.CD,https://data.worldbank.org/indicator/CM.MKT.LCAP.CD
1980,Switzerland,CHE,CH,Europe & Central Asia,High income,42730940000,42730.94,0.042731,8,#38BDF8,World Bank WDI via World Federation of Exchanges,CM.MKT.LCAP.CD,https://data.worldbank.org/indicator/CM.MKT.LCAP.CD
1980,"Hong Kong SAR, China",HKG,HK,East Asia & Pacific,High income,39013300000,39013.30,0.039013,9,#F43F5E,World Bank WDI via World Federation of Exchanges,CM.MKT.LCAP.CD,https://data.worldbank.org/indicator/CM.MKT.LCAP.CD
1980,United Kingdom,GBR,GB,Europe & Central Asia,High income,35975710000,35975.71,0.035976,10,#818CF8,World Bank WDI via World Federation of Exchanges,CM.MKT.LCAP.CD,https://data.worldbank.org/indicator/CM.MKT.LCAP.CD
1980,Netherlands,NLD,NL,Europe & Central Asia,High income,29359340000,29359.34,0.029359,11,#2DD4BF,World Bank WDI via World Federation of Exchanges,CM.MKT.LCAP.CD,https://data.worldbank.org/indicator/CM.MKT.LCAP.CD
1980,Italy,ITA,IT,Europe & Central Asia,High income,25340150000,25340.15,0.025340,12,#2DD4BF,World Bank WDI via World Federation of Exchanges,CM.MKT.LCAP.CD,https://data.worldbank.org/indicator/CM.MKT.LCAP.CD
1980,Singapore,SGP,SG,East Asia & Pacific,High income,24417910000,24417.91,0.024418,13,#14B8A6,World Bank WDI via World Federation of Exchanges,CM.MKT.LCAP.CD,https://data.worldbank.org/indicator/CM.MKT.LCAP.CD
1980,Spain,ESP,ES,Europe & Central Asia,High income,16564790000,16564.79,0.016565,14,#22C55E,World Bank WDI via World Federation of Exchanges,CM.MKT.LCAP.CD,https://data.worldbank.org/indicator/CM.MKT.LCAP.CD
1980,Sweden,SWE,SE,Europe & Central Asia,High income,12909710000,12909.71,0.012910,15,#F97316,World Bank WDI via World Federation of Exchanges,CM.MKT.LCAP.CD,https://data.worldbank.org/indicator/CM.MKT.LCAP.CD
1980,Belgium,BEL,BE,Europe & Central Asia,High income,10033090000,10033.09,0.010033,16,#84CC16,World Bank WDI via World Federation of Exchanges,CM.MKT.LCAP.CD,https://data.worldbank.org/indicator/CM.MKT.LCAP.CD
1980,Denmark,DNK,DK,Europe & Central Asia,High income,5543090000,5543.09,0.005543,17,#F97316,World Bank WDI via World Federation of Exchanges,CM.MKT.LCAP.CD,https://data.worldbank.org/indicator/CM.MKT.LCAP.CD
1980,Israel,ISR,IL,"Middle East, North Africa, Afghanistan & Pakistan",High income,4808410000,4808.41,0.004808,18,#FB7185,World Bank WDI via World Federation of Exchanges,CM.MKT.LCAP.CD,https://data.worldbank.org/indicator/CM.MKT.LCAP.CD
1980,Argentina,ARG,AR,Latin America & Caribbean,Upper middle income,3954900000,3954.90,0.003955,19,#2DD4BF,World Bank WDI via World Federation of Exchanges,CM.MKT.LCAP.CD,https://data.worldbank.org/indicator/CM.MKT.LCAP.CD
1980,"Korea, Rep.",KOR,KR,East Asia & Pacific,High income,3828760000,3828.76,0.003829,20,#94A3B8,World Bank WDI via World Federation of Exchanges,CM.MKT.LCAP.CD,https://data.worldbank.org/indicator/CM.MKT.LCAP.CD
1980,Austria,AUT,AT,Europe & Central Asia,High income,1956010000,1956.01,0.001956,21,#38BDF8,World Bank WDI via World Federation of Exchanges,CM.MKT.LCAP.CD,https://data.worldbank.org/indicator/CM.MKT.LCAP.CD
