year,name,code,flag,region,currency,value,rank,color,source
2008,Finland,FIN,🇫🇮,Europe,EUR,0.679923,26,#84CC16,"World Bank PA.NUS.FCRF, annual average official exchange rate"
2008,France,FRA,🇫🇷,Europe,EUR,0.679923,27,#3B82F6,"World Bank PA.NUS.FCRF, annual average official exchange rate"
2008,Germany,DEU,🇩🇪,Europe,EUR,0.679923,28,#EAB308,"World Bank PA.NUS.FCRF, annual average official exchange rate"
2008,Greece,GRC,🇬🇷,Europe,EUR,0.679923,29,#06B6D4,"World Bank PA.NUS.FCRF, annual average official exchange rate"
2008,Ireland,IRL,🇮🇪,Europe,EUR,0.679923,30,#10B981,"World Bank PA.NUS.FCRF, annual average official exchange rate"
2008,Italy,ITA,🇮🇹,Europe,EUR,0.679923,31,#22C55E,"World Bank PA.NUS.FCRF, annual average official exchange rate"
2008,Luxembourg,LUX,🇱🇺,Europe,EUR,0.679923,32,#A3E635,"World Bank PA.NUS.FCRF, annual average official exchange rate"
2008,Netherlands,NLD,🇳🇱,Europe,EUR,0.679923,33,#F97316,"World Bank PA.NUS.FCRF, annual average official exchange rate"
2008,Portugal,PRT,🇵🇹,Europe,EUR,0.679923,34,#16A34A,"World Bank PA.NUS.FCRF, annual average official exchange rate"
2008,Slovenia,SVN,🇸🇮,Europe,EUR,0.679923,35,#65A30D,"World Bank PA.NUS.FCRF, annual average official exchange rate"
2008,Spain,ESP,🇪🇸,Europe,EUR,0.679923,36,#FBBF24,"World Bank PA.NUS.FCRF, annual average official exchange rate"
2008,United Kingdom,GBR,🇬🇧,Europe,GBP,0.543966,37,#818CF8,"World Bank PA.NUS.FCRF, annual average official exchange rate"
2008,Latvia,LVA,🇱🇻,Europe,LVL,0.480817,38,#DC2626,"World Bank PA.NUS.FCRF, annual average official exchange rate"
2009,Colombia,COL,🇨🇴,Americas,COP,2157.60,1,#FACC15,"World Bank PA.NUS.FCRF, annual average official exchange rate"
2009,South Korea,KOR,🇰🇷,Asia,KRW,1277.25,2,#38BDF8,"World Bank PA.NUS.FCRF, annual average official exchange rate"
2009,Costa Rica,CRI,🇨🇷,Americas,CRC,573.2880,3,#22C55E,"World Bank PA.NUS.FCRF, annual average official exchange rate"
2009,Chile,CHL,🇨🇱,Americas,CLP,560.8599,4,#EF4444,"World Bank PA.NUS.FCRF, annual average official exchange rate"
2009,Hungary,HUN,🇭🇺,Europe,HUF,202.3417,5,#EC4899,"World Bank PA.NUS.FCRF, annual average official exchange rate"
2009,Iceland,ISL,🇮🇸,Europe,ISK,123.6384,6,#0EA5E9,"World Bank PA.NUS.FCRF, annual average official exchange rate"
2009,Japan,JPN,🇯🇵,Asia,JPY,93.5701,7,#FB7185,"World Bank PA.NUS.FCRF, annual average official exchange rate"
2009,Czechia,CZE,🇨🇿,Europe,CZK,19.0630,8,#818CF8,"World Bank PA.NUS.FCRF, annual average official exchange rate"
2009,Mexico,MEX,🇲🇽,Americas,MXN,13.5135,9,#2DD4BF,"World Bank PA.NUS.FCRF, annual average official exchange rate"
